id,name,icon,sort_order,type,is_asset,billing_start_day,currency,credit_limit
6,悠遊付錢包,💰,90,asset,1,1,TWD,0.0
7,錢包,💵,91,asset,1,1,TWD,0.0
8,CUBE COMBO,💰,92,asset,1,1,TWD,0.0
9,BT21,💰,93,asset,1,1,TWD,0.0
10,Bankee,💰,94,asset,1,1,TWD,0.0
11,國泰子帳戶,🏦,95,asset,1,1,TWD,0.0
12,郵局,💰,96,asset,1,1,TWD,0.0
13,國泰數位帳戶,💰,97,asset,1,1,TWD,0.0
14,點點卡,💰,98,asset,1,1,TWD,0.0
15,中信,🏦,99,asset,1,1,TWD,0.0
17,統一增長,💰,101,asset,1,1,TWD,0.0
18,iPASS MONEY,💰,102,asset,1,1,TWD,0.0
19,撲滿現金,💰,103,asset,1,1,TWD,0.0
20,台新活儲戶,💰,104,asset,1,1,TWD,0.0
21,台新美元,💰,105,asset,1,1,USD,0.0
22,討債時間！,💰,106,asset,1,1,TWD,0.0
