id,name,type,is_asset,in_budget,group_name,sort_order,monthly_budget
5,醫療,expense,1,1,健康,4,0.0
7,教育,expense,1,1,學習,6,0.0
9,獎金,income,1,0,額外收入,8,0.0
10,其他,expense,1,1,其他,9,0.0
11,現金回饋,income,1,1,匯入,99,0.0
12,飲食,expense,1,1,匯入,99,0.0
13,量販雜貨,expense,1,1,匯入,99,0.0
14,網路雲端服務,expense,1,1,匯入,99,0.0
15,約會/請客,expense,1,1,匯入,99,0.0
16,加油,expense,1,1,匯入,99,0.0
17,通勤交通,expense,1,1,匯入,99,0.0
18,卡片儲值,expense,1,1,匯入,99,0.0
19,日用品,expense,1,1,匯入,99,0.0
20,股票盈利,income,1,1,匯入,99,0.0
21,影印,expense,1,1,匯入,99,0.0
22,零用錢,expense,1,1,匯入,99,0.0
23,美容美髮,expense,1,1,匯入,99,0.0
24,清點差額,expense,1,1,匯入,99,0.0
25,工資,income,1,1,匯入,99,0.0
26,他人還款,income,1,1,匯入,99,0.0
27,服飾配件,expense,1,1,匯入,99,0.0
28,代付,expense,1,1,匯入,99,0.0
29,學習,expense,1,1,匯入,99,0.0
30,股票虧損,expense,1,1,匯入,99,0.0
31,存款利息,income,1,1,匯入,99,0.0
32,聚會,expense,1,1,匯入,99,0.0
33,理賠/補助,income,1,1,匯入,99,0.0
34,要還錢/找零,expense,1,1,匯入,99,0.0
35,取消交易,expense,1,1,匯入,99,0.0
36,網路購物,expense,1,1,匯入,99,0.0
37,郵資/行政手續費,expense,1,1,匯入,99,0.0
38,保養維修,expense,1,1,匯入,99,0.0
39,股息,income,1,1,匯入,99,0.0
40,圖書/考試,expense,1,1,匯入,99,0.0
41,停車費,expense,1,1,匯入,99,0.0
42,稅金/費用,expense,1,1,匯入,99,0.0
43,3C,expense,1,1,匯入,99,0.0
44,禮品,expense,1,1,匯入,99,0.0
45,租金,expense,1,1,匯入,99,0.0
46,旅行,expense,1,1,匯入,99,0.0
47,代理保管,expense,1,1,匯入,99,0.0
48,利息/罰金,income,1,1,匯入,99,0.0
49,KTV,expense,1,1,匯入,99,0.0
50,電影,expense,1,1,匯入,99,0.0
51,遊戲,expense,1,1,匯入,99,0.0
52,洗滌,expense,1,1,匯入,99,0.0
53,抖內,expense,1,1,匯入,99,0.0
54,雲端服務,expense,1,1,匯入,99,0.0
55,運動,expense,1,1,匯入,99,0.0
56,小數點折抵,expense,1,1,匯入,99,0.0
57,投資,expense,1,1,匯入,99,0.0
58,結算差額,expense,1,1,匯入,99,0.0
59,學習力,expense,1,1,匯入,99,0.0
60,還款,expense,1,1,匯入,99,0.0
61,買賣,expense,1,1,匯入,99,0.0
62,保險,expense,1,1,匯入,99,0.0
63,天下掉下來,income,1,1,匯入,99,0.0
64,服飾,expense,1,1,匯入,99,0.0
65,學習深造,expense,1,1,匯入,99,0.0
66,班費,expense,1,1,匯入,99,0.0
67,暫借,expense,1,1,匯入,99,0.0
