id,title,amount,category,date,note,created_at,type,account_id,to_account_id,to_amount,stock_transaction_id,loan_id,loan_payment_id
1,現金回饋,6.0,現金回饋,2026-06-30,,2026-06-11 01:02:40,income,6,0,0.0,0,0,0
2,拾鍋殿,190.0,飲食,2026-06-10,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
3,量販雜貨,146.0,量販雜貨,2026-06-10,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
4,Claude,635.0,網路雲端服務,2026-06-10,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
5,飲食,87.0,飲食,2026-06-09,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
6,約會/請客,445.0,約會/請客,2026-06-08,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
7,加油,117.0,加油,2026-06-08,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
8,發票,200.0,獎金,2026-06-08,,2026-06-11 01:02:40,income,10,0,0.0,0,0,0
9,飲食,122.0,飲食,2026-06-07,,2026-06-11 01:02:40,expense,6,0,0.0,0,0,0
10,通勤交通,45.0,通勤交通,2026-06-07,,2026-06-11 01:02:40,expense,6,0,0.0,0,0,0
11,通勤交通,137.0,通勤交通,2026-06-07,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
12,raingo,39.0,飲食,2026-06-07,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
13,通勤交通,1115.0,通勤交通,2026-06-06,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
14,卡片儲值,500.0,卡片儲值,2026-06-06,,2026-06-11 01:02:40,expense,6,0,0.0,0,0,0
15,水,10.0,日用品,2026-06-06,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
16,兆豐藍籌,179.0,股票盈利,2026-06-05,,2026-06-11 01:02:40,income,11,0,0.0,0,0,0
17,飲食,60.0,飲食,2026-06-05,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
18,咖喱,352.0,飲食,2026-06-05,,2026-06-11 01:02:40,expense,12,0,0.0,0,0,0
19,通勤交通,500.0,通勤交通,2026-06-05,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
20,影印,10.0,影印,2026-06-05,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
21,飲食,80.0,飲食,2026-06-05,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
22,飲食,32.0,飲食,2026-06-04,,2026-06-11 01:02:40,expense,6,0,0.0,0,0,0
23,飲食,85.0,飲食,2026-06-04,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
24,貼圖,35.0,其他,2026-06-04,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
25,零用錢,16000.0,零用錢,2026-06-03,,2026-06-11 01:02:40,expense,12,0,0.0,0,0,0
26,飲食,201.0,飲食,2026-06-03,,2026-06-11 01:02:40,expense,6,0,0.0,0,0,0
27,量販雜貨,207.0,量販雜貨,2026-06-03,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
28,美容美髮,150.0,美容美髮,2026-06-03,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
29,飲食,110.0,飲食,2026-06-03,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
30,貢糖,100.0,飲食,2026-06-03,,2026-06-11 01:02:40,expense,13,0,0.0,0,0,0
31,通勤交通,137.0,通勤交通,2026-06-02,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
32,comebuy,70.0,飲食,2026-06-02,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
33,卡片儲值,400.0,卡片儲值,2026-06-02,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
34,飲食,3.0,飲食,2026-06-02,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
35,日用品,150.0,日用品,2026-06-02,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
36,垃圾袋,180.0,日用品,2026-06-02,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
37,Google Cloud,3.0,網路雲端服務,2026-06-01,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
38,影印,20.0,影印,2026-06-01,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
39,麥當勞,176.0,飲食,2026-06-01,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
40,飲食,180.0,飲食,2026-05-31,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
41,清點差額,146.0,清點差額,2026-05-31,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
42,麥當勞,68.0,飲食,2026-05-31,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
43,現金回饋,5.0,現金回饋,2026-05-31,,2026-06-11 01:02:40,income,6,0,0.0,0,0,0
44,飲食,48.0,飲食,2026-05-30,,2026-06-11 01:02:40,expense,14,0,0.0,0,0,0
45,飲食,45.0,飲食,2026-05-30,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
46,飲食,55.0,飲食,2026-05-30,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
47,飲食,25.0,飲食,2026-05-29,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
48,現金回饋,395.0,現金回饋,2026-05-29,,2026-06-11 01:02:40,income,8,0,0.0,0,0,0
49,欣銓11405,28565.0,工資,2026-05-29,,2026-06-11 01:02:40,income,15,0,0.0,0,0,0
50,他人還款,42.0,他人還款,2026-05-28,,2026-06-11 01:02:40,income,12,0,0.0,0,0,0
51,飲食,41.0,飲食,2026-05-28,,2026-06-11 01:02:40,expense,14,0,0.0,0,0,0
52,飲食,90.0,飲食,2026-05-28,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
53,服飾配件,400.0,服飾配件,2026-05-28,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
54,服飾配件,3.0,服飾配件,2026-05-28,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
55,漢堡王,158.0,代付,2026-05-28,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
56,牙醫,100.0,醫療,2026-05-28,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
57,盟立 賣出 盈利,37.0,股票盈利,2026-05-28,,2026-06-11 01:02:40,income,11,0,0.0,0,0,0
58,他人還款,47.0,他人還款,2026-05-28,,2026-06-11 01:02:40,income,7,0,0.0,0,0,0
59,後端 19/36,2839.0,學習,2026-05-28,,2026-06-11 01:02:40,expense,10,0,0.0,0,0,0
60,飲食,90.0,飲食,2026-05-27,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
61,拾鍋殿,340.0,約會/請客,2026-05-26,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
62,現金回饋,22.0,現金回饋,2026-05-25,,2026-06-11 01:02:40,income,13,0,0.0,0,0,0
63,鮮友火鍋,1318.0,約會/請客,2026-05-25,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
64,校正,197308.01,其他,2026-05-25,,2026-06-11 01:02:40,expense,11,0,0.0,0,0,0
65,主動統一台股增長 賣出 虧損,179.2,股票虧損,2026-05-25,,2026-06-11 01:02:40,expense,11,0,0.0,0,0,0
66,飲食,83.0,飲食,2026-05-24,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
67,全聯,75.0,量販雜貨,2026-05-24,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
68,毛巾,99.0,日用品,2026-05-24,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
69,飲食,50.0,飲食,2026-05-24,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
70,飲食,57.0,飲食,2026-05-23,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
71,飲食,190.0,飲食,2026-05-23,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
72,飲食,55.0,飲食,2026-05-22,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
73,飲食,155.0,飲食,2026-05-22,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
74,存款利息,462.0,存款利息,2026-05-21,,2026-06-11 01:02:40,income,10,0,0.0,0,0,0
75,日用品,30.0,日用品,2026-05-21,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
76,飲食,50.0,飲食,2026-05-20,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
77,飲食,140.0,飲食,2026-05-20,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
78,寶貝的晚餐,118.0,約會/請客,2026-05-20,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
79,飲食,689.0,飲食,2026-05-19,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
80,主動統一台股增長 賣出 盈利,1375.0,股票盈利,2026-05-18,,2026-06-11 01:02:40,income,17,0,0.0,0,0,0
81,主動統一台股增長 賣出 盈利,2767.0,股票盈利,2026-05-18,,2026-06-11 01:02:40,income,17,0,0.0,0,0,0
82,飲食,68.0,飲食,2026-05-18,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
83,加油,127.0,加油,2026-05-18,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
84,iCloud,90.0,網路雲端服務,2026-05-18,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
85,飲食,50.0,飲食,2026-05-17,,2026-06-11 01:02:40,expense,14,0,0.0,0,0,0
86,通勤交通,20.0,通勤交通,2026-05-17,,2026-06-11 01:02:40,expense,6,0,0.0,0,0,0
87,通勤交通,25.0,通勤交通,2026-05-17,,2026-06-11 01:02:40,expense,6,0,0.0,0,0,0
88,通勤交通,30.0,通勤交通,2026-05-17,,2026-06-11 01:02:40,expense,6,0,0.0,0,0,0
89,通勤交通,30.0,通勤交通,2026-05-17,,2026-06-11 01:02:40,expense,6,0,0.0,0,0,0
90,通勤交通,20.0,通勤交通,2026-05-17,,2026-06-11 01:02:40,expense,6,0,0.0,0,0,0
91,通勤交通,143.0,通勤交通,2026-05-17,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
92,通勤交通,143.0,通勤交通,2026-05-17,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
93,通勤交通,20.0,通勤交通,2026-05-16,,2026-06-11 01:02:40,expense,6,0,0.0,0,0,0
94,通勤交通,129.0,通勤交通,2026-05-16,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
95,雙月+茶泡飯,464.0,飲食,2026-05-16,,2026-06-11 01:02:40,expense,12,0,0.0,0,0,0
96,飲料,70.0,飲食,2026-05-16,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
97,展覽,300.0,其他,2026-05-16,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
98,通勤交通,143.0,通勤交通,2026-05-16,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
99,飲食,87.0,飲食,2026-05-15,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
100,洗衣精,65.0,日用品,2026-05-15,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
101,量販雜貨,104.0,量販雜貨,2026-05-14,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
102,飲食,160.0,飲食,2026-05-13,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
103,冰,120.0,飲食,2026-05-13,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
104,鞋子,251.0,服飾配件,2026-05-12,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
105,全聯,70.0,量販雜貨,2026-05-12,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
106,約會/請客,360.0,約會/請客,2026-05-12,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
107,飲食,55.0,飲食,2026-05-12,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
108,服飾配件,100.0,服飾配件,2026-05-11,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
109,肉夯夯,1076.0,約會/請客,2026-05-11,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
110,Claude,636.0,網路雲端服務,2026-05-10,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
111,飲食,190.0,飲食,2026-05-10,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
112,美容美髮,150.0,美容美髮,2026-05-09,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
113,拾鍋殿,209.0,飲食,2026-05-09,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
114,飲食,100.0,飲食,2026-05-09,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
115,飲食,90.0,飲食,2026-05-08,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
116,卡片儲值,200.0,卡片儲值,2026-05-08,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
117,飲食,60.0,飲食,2026-05-08,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
118,通勤交通,199.0,通勤交通,2026-05-07,,2026-06-11 01:02:40,expense,13,0,0.0,0,0,0
119,量販雜貨,65.0,量販雜貨,2026-05-07,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
120,飲食,200.0,飲食,2026-05-07,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
121,清點差額,105.0,清點差額,2026-05-07,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
122,飲食,65.0,飲食,2026-05-07,,2026-06-11 01:02:40,expense,15,0,0.0,0,0,0
123,約會/請客,380.0,約會/請客,2026-05-05,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
124,加油,100.0,加油,2026-05-05,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
125,Spotify ～ 9月（半年300） Netflix ～ 6月（60六個月）,660.0,網路雲端服務,2026-05-05,,2026-06-11 01:02:40,expense,12,0,0.0,0,0,0
126,零用錢,16000.0,零用錢,2026-05-04,,2026-06-11 01:02:40,expense,12,0,0.0,0,0,0
127,mr. may pizza,1096.0,約會/請客,2026-05-04,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
128,卡片儲值,200.0,卡片儲值,2026-05-04,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
129,飲食,83.0,飲食,2026-05-03,,2026-06-11 01:02:40,expense,6,0,0.0,0,0,0
130,UBER 不明扣款,152.0,其他,2026-05-03,,2026-06-11 01:02:40,expense,12,0,0.0,0,0,0
131,通勤交通,150.0,通勤交通,2026-05-03,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
132,網路雲端服務,1198.0,網路雲端服務,2026-05-03,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
133,飲食,100.0,飲食,2026-05-03,,2026-06-11 01:02:40,expense,14,0,0.0,0,0,0
134,通勤交通,199.0,通勤交通,2026-05-03,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
135,飲食,114.0,飲食,2026-05-02,,2026-06-11 01:02:40,expense,14,0,0.0,0,0,0
136,服飾配件,503.0,服飾配件,2026-05-02,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
137,飲食,180.0,飲食,2026-05-02,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
138,日用品,99.0,日用品,2026-05-02,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
139,飲食,55.0,飲食,2026-05-02,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
140,飲食,75.0,飲食,2026-05-02,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
141,飲食,95.0,飲食,2026-05-01,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
142,聚會,10.0,聚會,2026-05-01,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
143,他人還款,115.0,他人還款,2026-05-01,,2026-06-11 01:02:40,income,7,0,0.0,0,0,0
144,飲食,265.0,飲食,2026-05-01,,2026-06-11 01:02:40,expense,9,0,0.0,0,0,0
145,飲食,95.0,飲食,2026-05-01,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
146,飲食,95.0,飲食,2026-04-30,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
147,租屋,2880.0,理賠/補助,2026-04-30,,2026-06-11 01:02:40,income,12,0,0.0,0,0,0
148,欣銓11404,28389.0,工資,2026-04-30,,2026-06-11 01:02:40,income,15,0,0.0,0,0,0
149,現金回饋,14.0,現金回饋,2026-04-30,,2026-06-11 01:02:40,income,6,0,0.0,0,0,0
150,約會/請客,360.0,約會/請客,2026-04-29,,2026-06-11 01:02:40,expense,12,0,0.0,0,0,0
151,飲食,58.0,飲食,2026-04-28,,2026-06-11 01:02:40,expense,8,0,0.0,0,0,0
152,卡片儲值,300.0,卡片儲值,2026-04-28,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
153,飲食,60.0,飲食,2026-04-28,,2026-06-11 01:02:40,expense,15,0,0.0,0,0,0
154,後端 18/36,2839.0,學習,2026-04-28,,2026-06-11 01:02:40,expense,12,0,0.0,0,0,0
155,飲食,200.0,飲食,2026-04-27,,2026-06-11 01:02:40,expense,7,0,0.0,0,0,0
