id,name,icon,sort_order,type,sub_type,is_asset,billing_start_day,currency,credit_limit,payment_due_day,min_payment_pct,min_payment_floor,apr,opening_balance
1,撲滿現金,💵,20,asset,現金,1,1,TWD,0.0,0,10.0,1000.0,0.0,50.0
2,台新活儲戶,🏦,22,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,299.0
3,郵局,🏦,4,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,3161.0
4,錢包,🏦,0,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,2281.0
5,Bankee,🏦,3,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,418904.0
7,點點卡,🪙,21,asset,預付儲值,1,1,TWD,0.0,0,10.0,1000.0,0.0,311.0
8,國泰數位帳戶,🏦,23,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,355.0
9,CUBE COMBO,💳,2,liability,信用卡,0,1,TWD,0.0,0,10.0,1000.0,0.0,-10016.0
10,國泰子帳戶,🏦,5,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,50302.0
11,討債時間！,🤝,24,asset,借出,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
12,iPASS MONEY,🪙,27,asset,預付儲值,1,1,TWD,0.0,0,10.0,1000.0,0.0,-3.0
13,BT21,💳,1,liability,信用卡,0,1,TWD,0.0,0,10.0,1000.0,0.0,-4966.0
14,悠遊付錢包,🪙,6,asset,預付儲值,1,1,TWD,0.0,0,10.0,1000.0,0.0,271.0
15,國泰日幣,🏦,28,asset,銀行,1,1,JPY,0.0,0,10.0,1000.0,0.0,9003.0
16,台新美元,🏦,29,asset,銀行,1,1,USD,0.0,0,10.0,1000.0,0.0,2.19
17,鑫多利,🛡️,30,asset,保單,1,1,USD,0.0,0,10.0,1000.0,0.0,2424.0
18,中信,🏦,25,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
19,LinePay Money,🪙,26,asset,預付儲值,1,1,TWD,0.0,0,10.0,1000.0,0.0,95.0
28,台積電,📈,7,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
29,元大台灣50,📈,8,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
30,永豐台灣ESG,📈,9,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
31,群益台ESG低碳50,📈,10,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
32,聯發科,📈,11,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
33,兆豐藍籌30,📈,12,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
34,盟立,📈,13,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
35,南電,📈,14,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
36,力成,📈,16,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
37,禾伸堂,📈,17,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
38,擎亞,📈,18,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
39,南亞,📈,15,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
40,國巨*,📈,19,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
