id,name,type,is_asset,in_budget,group_name,sort_order,monthly_budget
1,飲食,expense,1,1,匯入,90,0.0
2,暫借,expense,1,1,匯入,91,0.0
3,教育,expense,1,1,匯入,92,0.0
4,卡片儲值,expense,1,1,匯入,93,0.0
5,班費,expense,1,1,匯入,94,0.0
6,洗滌,expense,1,1,匯入,95,0.0
7,清點差額,expense,1,1,匯入,96,0.0
8,網路雲端服務,expense,1,1,匯入,97,0.0
9,學習深造,expense,1,1,匯入,98,0.0
10,服飾,expense,1,1,匯入,99,0.0
11,通勤交通,expense,1,1,匯入,100,0.0
12,KTV,expense,1,1,匯入,101,0.0
13,美容美髮,expense,1,1,匯入,102,0.0
14,代付,expense,1,1,匯入,103,0.0
15,3C,expense,1,1,匯入,104,0.0
16,要還錢/找零,expense,1,1,匯入,105,0.0
17,服飾配件,expense,1,1,匯入,106,0.0
18,旅行,expense,1,1,匯入,107,0.0
19,聚會,expense,1,1,匯入,108,0.0
20,醫療,expense,1,1,匯入,109,0.0
21,還款,expense,1,1,匯入,110,0.0
22,量販雜貨,expense,1,1,匯入,111,0.0
23,稅金/費用,expense,1,1,匯入,112,0.0
24,學習力,expense,1,1,匯入,113,0.0
25,雲端服務,expense,1,1,匯入,114,0.0
26,影印,expense,1,1,匯入,115,0.0
27,禮品,expense,1,1,匯入,116,0.0
28,保養維修,expense,1,1,匯入,117,0.0
29,投資,expense,1,1,匯入,118,0.0
30,保險,expense,1,1,匯入,119,0.0
31,停車費,expense,1,1,匯入,120,0.0
32,加油,expense,1,1,匯入,121,0.0
33,運動,expense,1,1,匯入,122,0.0
34,日用品,expense,1,1,匯入,123,0.0
35,圖書/考試,expense,1,1,匯入,124,0.0
36,其他,expense,1,1,匯入,125,0.0
37,遊戲,expense,1,1,匯入,126,0.0
38,電影,expense,1,1,匯入,127,0.0
39,租金,expense,1,1,匯入,128,0.0
40,網路購物,expense,1,1,匯入,129,0.0
41,約會/請客,expense,1,1,匯入,130,0.0
42,利息/罰金,expense,1,1,匯入,131,0.0
43,學習,expense,1,1,匯入,132,0.0
44,郵資/行政手續費,expense,1,1,匯入,133,0.0
45,股票虧損,expense,1,1,匯入,134,0.0
46,他人還款,income,1,1,匯入,135,0.0
47,零用錢,income,1,1,匯入,136,0.0
48,獎金,income,1,1,匯入,137,0.0
49,工資,income,1,1,匯入,138,0.0
50,天下掉下來,income,1,1,匯入,139,0.0
51,現金回饋,income,1,1,匯入,140,0.0
52,結算差額,income,1,1,匯入,141,0.0
53,代理保管,income,1,1,匯入,142,0.0
54,買賣,income,1,1,匯入,143,0.0
55,存款利息,income,1,1,匯入,144,0.0
56,抖內,income,1,1,匯入,145,0.0
57,小數點折抵,income,1,1,匯入,146,0.0
58,股息,income,1,1,匯入,147,0.0
59,清點差額,income,1,1,匯入,148,0.0
60,理賠/補助,income,1,1,匯入,149,0.0
61,取消交易,income,1,1,匯入,150,0.0
62,其他,income,1,1,匯入,151,0.0
63,股票盈利,income,1,1,匯入,152,0.0
