id,stock_id,type,date,shares,price,fee,note,created_at
1,9,opening,2026-04-30,52,1926.6731,0.0,券商對帳單匯入,2026-07-17 01:29:36
2,10,opening,2026-07-09,767,71.0613,0.0,券商對帳單匯入,2026-07-17 01:29:36
3,11,opening,2026-06-23,1000,38.415,0.0,券商對帳單匯入,2026-07-17 01:29:36
4,12,opening,2026-03-10,1950,19.0979,0.0,券商對帳單匯入,2026-07-17 01:29:36
5,13,opening,2026-06-26,4,4207.25,0.0,券商對帳單匯入,2026-07-17 01:29:36
6,14,opening,2026-06-29,212,55.8302,0.0,券商對帳單匯入,2026-07-17 01:29:36
7,15,opening,2026-06-09,29,179.5862,0.0,券商對帳單匯入,2026-07-17 01:29:36
8,16,opening,2026-07-14,4,1250.5,0.0,券商對帳單匯入,2026-07-17 01:29:36
9,17,opening,2026-06-03,13,357.9231,0.0,券商對帳單匯入,2026-07-17 01:29:37
10,18,opening,2026-07-09,4,1010.5,0.0,券商對帳單匯入,2026-07-17 01:29:37
11,19,opening,2026-06-23,15,152.0667,0.0,券商對帳單匯入,2026-07-17 01:29:37
12,20,opening,2026-07-09,10,181.1,0.0,券商對帳單匯入,2026-07-17 01:29:37
13,21,opening,2026-07-06,1,1001.0,0,券商對帳單匯入,2026-07-17 01:29:37
