id,name,type,is_asset,in_budget,group_name,sort_order,monthly_budget
1,卡片儲值,expense,1,1,匯入（支出）,90,0
2,飲食,expense,1,1,匯入（支出）,91,0
3,KTV,expense,1,1,匯入（支出）,92,0
4,要還錢/找零,expense,1,1,匯入（支出）,93,0
5,代付,expense,1,1,匯入（支出）,94,0
6,3C,expense,1,1,匯入（支出）,95,0
7,清點差額,expense,1,1,匯入（支出）,96,0
8,美容美髮,expense,1,1,匯入（支出）,97,0
9,旅行,expense,1,1,匯入（支出）,98,0
10,教育,expense,1,1,匯入（支出）,99,0
11,通勤交通,expense,1,1,匯入（支出）,100,0
12,洗滌,expense,1,1,匯入（支出）,101,0
13,服飾配件,expense,1,1,匯入（支出）,102,0
14,量販雜貨,expense,1,1,匯入（支出）,103,0
15,學習力,expense,1,1,匯入（支出）,104,0
16,影印,expense,1,1,匯入（支出）,105,0
17,禮品,expense,1,1,匯入（支出）,106,0
18,還款,expense,1,1,匯入（支出）,107,0
19,保養維修,expense,1,1,匯入（支出）,108,0
20,稅金/費用,expense,1,1,匯入（支出）,109,0
21,聚會,expense,1,1,匯入（支出）,110,0
22,醫療,expense,1,1,匯入（支出）,111,0
23,運動,expense,1,1,匯入（支出）,112,0
24,加油,expense,1,1,匯入（支出）,113,0
25,日用品,expense,1,1,匯入（支出）,114,0
26,網路雲端服務,expense,1,1,匯入（支出）,115,0
27,圖書/考試,expense,1,1,匯入（支出）,116,0
28,停車費,expense,1,1,匯入（支出）,117,0
29,其他,expense,1,1,匯入（支出）,118,0
30,遊戲,expense,1,1,匯入（支出）,119,0
31,電影,expense,1,1,匯入（支出）,120,0
32,租金,expense,1,1,匯入（支出）,121,0
33,網路購物,expense,1,1,匯入（支出）,122,0
34,約會/請客,expense,1,1,匯入（支出）,123,0
35,郵資/行政手續費,expense,1,1,匯入（支出）,124,0
36,利息/罰金,expense,1,1,匯入（支出）,125,0
37,學習,expense,1,1,匯入（支出）,126,0
38,股票虧損,expense,1,1,匯入（支出）,127,0
39,他人還款,income,1,1,匯入（收入）,128,0
40,天下掉下來,income,1,1,匯入（收入）,129,0
41,零用錢,income,1,1,匯入（收入）,130,0
42,獎金,income,1,1,匯入（收入）,131,0
43,買賣,income,1,1,匯入（收入）,132,0
44,結算差額,income,1,1,匯入（收入）,133,0
45,代理保管,income,1,1,匯入（收入）,134,0
46,存款利息,income,1,1,匯入（收入）,135,0
47,抖內,income,1,1,匯入（收入）,136,0
48,現金回饋,income,1,1,匯入（收入）,137,0
49,取消交易,income,1,1,匯入（收入）,138,0
50,工資,income,1,1,匯入（收入）,139,0
51,理賠/補助,income,1,1,匯入（收入）,140,0
52,股票盈利,income,1,1,匯入（收入）,141,0
