id,year,month,category,type,amount
1,2022,7,他人還款,income,852.0
2,2022,7,卡片儲值,expense,290.0
3,2022,7,飲食,expense,511.0
4,2022,7,KTV,expense,150.0
5,2022,7,天下掉下來,income,70.0
6,2022,7,零用錢,income,1000.0
7,2022,8,飲食,expense,1373.0
8,2022,8,獎金,income,1850.0
9,2022,8,要還錢/找零,expense,210.0
10,2022,8,天下掉下來,income,10.0
11,2022,8,代付,expense,390.0
12,2022,8,卡片儲值,expense,100.0
13,2022,8,零用錢,income,4500.0
14,2022,8,3C,expense,1976.0
15,2022,8,清點差額,expense,15.0
16,2022,8,KTV,expense,130.0
17,2022,8,美容美髮,expense,100.0
18,2022,8,旅行,expense,2800.0
19,2022,8,他人還款,income,3398.0
20,2022,9,飲食,expense,2335.0
21,2022,9,卡片儲值,expense,100.0
22,2022,9,教育,expense,1642.0
23,2022,9,清點差額,expense,210.0
24,2022,9,通勤交通,expense,2520.0
25,2022,9,天下掉下來,income,228.0
26,2022,9,他人還款,income,717.0
27,2022,9,洗滌,expense,300.0
28,2022,10,飲食,expense,4624.0
29,2022,10,他人還款,income,648.0
30,2022,10,清點差額,expense,282.0
31,2022,10,卡片儲值,expense,350.0
32,2022,10,服飾配件,expense,31.0
33,2022,10,3C,expense,100.0
34,2022,10,天下掉下來,income,1.0
35,2022,10,代付,expense,111.0
36,2022,10,通勤交通,expense,5.0
37,2022,10,教育,expense,220.0
38,2022,11,飲食,expense,6635.0
39,2022,11,他人還款,income,2486.0
40,2022,11,服飾配件,expense,593.0
41,2022,11,買賣,income,1800.0
42,2022,11,卡片儲值,expense,500.0
43,2022,11,代付,expense,1760.0
44,2022,11,獎金,income,1400.0
45,2022,11,清點差額,expense,122.0
46,2022,11,結算差額,income,41.0
47,2022,11,教育,expense,140.0
48,2022,11,洗滌,expense,489.0
49,2022,12,飲食,expense,4283.0
50,2022,12,代付,expense,803.0
51,2022,12,他人還款,income,651.0
52,2022,12,卡片儲值,expense,150.0
53,2022,12,獎金,income,996.0
54,2022,12,代理保管,income,30.0
55,2022,12,結算差額,income,30.0
56,2022,12,量販雜貨,expense,742.0
57,2022,12,清點差額,expense,5.0
58,2023,1,獎金,income,3000.0
59,2023,1,飲食,expense,1652.0
60,2023,1,KTV,expense,100.0
61,2023,1,清點差額,expense,270.0
62,2023,1,學習力,expense,5.0
63,2023,1,存款利息,income,12.0
64,2023,1,卡片儲值,expense,100.0
65,2023,1,美容美髮,expense,119.0
66,2023,2,獎金,income,3110.0
67,2023,2,飲食,expense,2998.0
68,2023,2,卡片儲值,expense,313.0
69,2023,2,服飾配件,expense,378.0
70,2023,2,KTV,expense,1130.0
71,2023,2,清點差額,expense,10.0
72,2023,2,抖內,income,1500.0
73,2023,2,影印,expense,10.0
74,2023,2,他人還款,income,3209.0
75,2023,2,學習力,expense,8779.0
76,2023,2,結算差額,income,72.0
77,2023,2,存款利息,income,49.0
78,2023,2,洗滌,expense,10.0
79,2023,3,飲食,expense,4901.0
80,2023,3,美容美髮,expense,100.0
81,2023,3,清點差額,expense,247.0
82,2023,3,他人還款,income,3875.0
83,2023,3,卡片儲值,expense,104.0
84,2023,3,通勤交通,expense,1300.0
85,2023,3,零用錢,income,3.0
86,2023,3,洗滌,expense,50.0
87,2023,3,存款利息,income,125.0
88,2023,4,卡片儲值,expense,339.0
89,2023,4,零用錢,income,1000.0
90,2023,4,抖內,income,1000.0
91,2023,4,他人還款,income,1515.0
92,2023,4,清點差額,expense,5.0
93,2023,4,KTV,expense,200.0
94,2023,4,飲食,expense,3869.0
95,2023,4,美容美髮,expense,319.0
96,2023,4,洗滌,expense,35.0
97,2023,4,代付,expense,2.0
98,2023,4,存款利息,income,121.0
99,2023,4,結算差額,income,201.0
100,2023,5,飲食,expense,4513.0
101,2023,5,清點差額,expense,234.0
102,2023,5,洗滌,expense,50.0
103,2023,5,卡片儲值,expense,300.0
104,2023,5,禮品,expense,520.0
105,2023,5,抖內,income,1150.0
106,2023,5,服飾配件,expense,1021.0
107,2023,5,他人還款,income,2599.0
108,2023,5,存款利息,income,141.0
109,2023,5,還款,expense,100.0
110,2023,5,結算差額,income,145.0
111,2023,6,飲食,expense,3221.0
112,2023,6,洗滌,expense,27.0
113,2023,6,他人還款,income,1189.0
114,2023,6,清點差額,expense,15.0
115,2023,6,卡片儲值,expense,348.0
116,2023,6,結算差額,income,145.0
117,2023,6,獎金,income,1000.0
118,2023,6,存款利息,income,152.0
119,2023,6,服飾配件,expense,652.0
120,2023,6,KTV,expense,120.0
121,2023,6,代付,expense,290.0
122,2023,7,KTV,expense,300.0
123,2023,7,抖內,income,1100.0
124,2023,7,卡片儲值,expense,300.0
125,2023,7,清點差額,expense,10.0
126,2023,7,保養維修,expense,300.0
127,2023,7,飲食,expense,240.0
128,2023,7,存款利息,income,149.0
129,2023,7,零用錢,income,2000.0
130,2023,7,美容美髮,expense,100.0
131,2023,8,抖內,income,3700.0
132,2023,8,卡片儲值,expense,300.0
133,2023,8,通勤交通,expense,441.0
134,2023,8,飲食,expense,265.0
135,2023,8,保養維修,expense,100.0
136,2023,8,存款利息,income,152.0
137,2023,8,他人還款,income,3350.0
138,2023,8,獎金,income,2000.0
139,2023,9,他人還款,income,1805.0
140,2023,9,抖內,income,200.0
141,2023,9,清點差額,expense,796.0
142,2023,9,飲食,expense,4473.0
143,2023,9,代付,expense,250.0
144,2023,9,結算差額,income,10.0
145,2023,9,洗滌,expense,30.0
146,2023,9,買賣,income,150.0
147,2023,9,學習力,expense,510.0
148,2023,9,通勤交通,expense,543.0
149,2023,9,存款利息,income,101.0
150,2023,9,卡片儲值,expense,500.0
151,2023,9,獎金,income,600.0
152,2023,9,還款,expense,300.0
153,2023,10,稅金/費用,expense,30.0
154,2023,10,他人還款,income,5303.0
155,2023,10,洗滌,expense,50.0
156,2023,10,KTV,expense,1664.0
157,2023,10,零用錢,income,5500.0
158,2023,10,清點差額,expense,579.0
159,2023,10,卡片儲值,expense,100.0
160,2023,10,飲食,expense,4389.0
161,2023,10,結算差額,income,25.0
162,2023,10,代付,expense,1339.0
163,2023,10,服飾配件,expense,1123.0
164,2023,10,量販雜貨,expense,608.0
165,2023,10,美容美髮,expense,100.0
166,2023,10,存款利息,income,94.0
167,2023,10,通勤交通,expense,350.0
168,2023,10,禮品,expense,276.0
169,2023,11,飲食,expense,4932.0
170,2023,11,KTV,expense,440.0
171,2023,11,他人還款,income,1955.0
172,2023,11,量販雜貨,expense,199.0
173,2023,11,聚會,expense,529.0
174,2023,11,洗滌,expense,30.0
175,2023,11,代付,expense,393.0
176,2023,11,清點差額,expense,56.0
177,2023,11,要還錢/找零,expense,298.0
178,2023,11,存款利息,income,114.0
179,2023,11,美容美髮,expense,100.0
180,2023,11,清點差額,income,41.0
181,2023,11,醫療,expense,200.0
182,2023,12,飲食,expense,4840.0
183,2023,12,清點差額,income,1.0
184,2023,12,他人還款,income,3135.0
185,2023,12,聚會,expense,400.0
186,2023,12,運動,expense,90.0
187,2023,12,清點差額,expense,175.0
188,2023,12,洗滌,expense,40.0
189,2023,12,存款利息,income,120.0
190,2023,12,抖內,income,1000.0
191,2023,12,零用錢,income,1000.0
192,2023,12,保養維修,expense,350.0
193,2023,12,代付,expense,10.0
194,2023,12,結算差額,income,108.0
195,2024,1,飲食,expense,2118.0
196,2024,1,禮品,expense,640.0
197,2024,1,卡片儲值,expense,100.0
198,2024,1,清點差額,income,626.0
199,2024,1,美容美髮,expense,100.0
200,2024,1,抖內,income,3600.0
201,2024,1,洗滌,expense,30.0
202,2024,1,通勤交通,expense,850.0
203,2024,1,KTV,expense,1000.0
204,2024,1,零用錢,income,200.0
205,2024,1,存款利息,income,116.0
206,2024,1,服飾配件,expense,310.0
207,2024,1,代付,expense,2511.0
208,2024,1,他人還款,income,1150.0
209,2024,2,洗滌,expense,40.0
210,2024,2,加油,expense,112.0
211,2024,2,代付,expense,3744.0
212,2024,2,他人還款,income,7775.0
213,2024,2,稅金/費用,expense,1392.0
214,2024,2,保養維修,expense,1900.0
215,2024,2,服飾配件,expense,1701.0
216,2024,2,飲食,expense,2808.0
217,2024,2,卡片儲值,expense,100.0
218,2024,2,清點差額,income,1031.0
219,2024,2,醫療,expense,100.0
220,2024,2,存款利息,income,98.0
221,2024,2,日用品,expense,80.0
222,2024,2,通勤交通,expense,250.0
223,2024,2,網路雲端服務,expense,91.0
224,2024,2,美容美髮,expense,100.0
225,2024,3,加油,expense,408.0
226,2024,3,飲食,expense,4818.0
227,2024,3,運動,expense,420.0
228,2024,3,他人還款,income,1089.0
229,2024,3,醫療,expense,2150.0
230,2024,3,圖書/考試,expense,450.0
231,2024,3,卡片儲值,expense,100.0
232,2024,3,停車費,expense,40.0
233,2024,3,洗滌,expense,30.0
234,2024,3,通勤交通,expense,1170.0
235,2024,3,聚會,expense,200.0
236,2024,3,3C,expense,589.0
237,2024,3,清點差額,expense,59.0
238,2024,3,服飾配件,expense,190.0
239,2024,3,代付,expense,979.0
240,2024,3,美容美髮,expense,100.0
241,2024,3,存款利息,income,94.0
242,2024,3,其他,expense,2.0
243,2024,3,要還錢/找零,expense,170.0
244,2024,3,遊戲,expense,100.0
245,2024,3,網路雲端服務,expense,150.0
246,2024,4,清點差額,income,100.0
247,2024,4,飲食,expense,3838.0
248,2024,4,量販雜貨,expense,437.0
249,2024,4,卡片儲值,expense,50.0
250,2024,4,洗滌,expense,69.0
251,2024,4,服飾配件,expense,2347.0
252,2024,4,他人還款,income,4322.0
253,2024,4,代付,expense,5365.0
254,2024,4,電影,expense,300.0
255,2024,4,保養維修,expense,400.0
256,2024,4,存款利息,income,106.0
257,2024,4,現金回饋,income,186.0
258,2024,4,加油,expense,89.0
259,2024,4,美容美髮,expense,100.0
260,2024,4,代理保管,income,10950.0
261,2024,4,清點差額,expense,145.0
262,2024,4,網路雲端服務,expense,90.0
263,2024,4,要還錢/找零,expense,1040.0
264,2024,4,3C,expense,6520.0
265,2024,5,飲食,expense,2567.0
266,2024,5,通勤交通,expense,630.0
267,2024,5,洗滌,expense,50.0
268,2024,5,零用錢,income,500.0
269,2024,5,代付,expense,1317.0
270,2024,5,他人還款,income,618.0
271,2024,5,加油,expense,110.0
272,2024,5,遊戲,expense,20.0
273,2024,5,清點差額,expense,475.0
274,2024,5,運動,expense,105.0
275,2024,5,存款利息,income,134.0
276,2024,5,現金回饋,income,111.0
277,2024,5,網路雲端服務,expense,90.0
278,2024,5,KTV,expense,40.0
279,2024,6,飲食,expense,4405.0
280,2024,6,要還錢/找零,expense,600.0
281,2024,6,清點差額,income,50.0
282,2024,6,洗滌,expense,110.0
283,2024,6,零用錢,income,5500.0
284,2024,6,代付,expense,2792.0
285,2024,6,他人還款,income,3058.0
286,2024,6,租金,expense,1400.0
287,2024,6,日用品,expense,15.0
288,2024,6,其他,expense,110.0
289,2024,6,清點差額,expense,285.0
290,2024,6,KTV,expense,400.0
291,2024,6,存款利息,income,138.0
292,2024,6,加油,expense,215.0
293,2024,6,卡片儲值,expense,100.0
294,2024,6,現金回饋,income,361.0
295,2024,6,網路雲端服務,expense,90.0
296,2024,6,電影,expense,880.0
297,2024,6,服飾配件,expense,412.0
298,2024,7,他人還款,income,1719.0
299,2024,7,飲食,expense,5056.0
300,2024,7,洗滌,expense,275.0
301,2024,7,醫療,expense,2166.0
302,2024,7,影印,expense,19.0
303,2024,7,通勤交通,expense,620.0
304,2024,7,零用錢,income,1000.0
305,2024,7,停車費,expense,80.0
306,2024,7,加油,expense,289.0
307,2024,7,服飾配件,expense,3651.0
308,2024,7,其他,expense,80.0
309,2024,7,保養維修,expense,300.0
310,2024,7,旅行,expense,1212.0
311,2024,7,存款利息,income,138.0
312,2024,7,現金回饋,income,46.0
313,2024,7,代付,expense,1614.0
314,2024,7,網路雲端服務,expense,90.0
315,2024,7,日用品,expense,16.0
316,2024,7,美容美髮,expense,100.0
317,2024,8,飲食,expense,5641.0
318,2024,8,洗滌,expense,280.0
319,2024,8,日用品,expense,288.0
320,2024,8,服飾配件,expense,2477.0
321,2024,8,他人還款,income,626.0
322,2024,8,卡片儲值,expense,160.0
323,2024,8,停車費,expense,90.0
324,2024,8,網路購物,expense,281.0
325,2024,8,清點差額,income,10.0
326,2024,8,通勤交通,expense,630.0
327,2024,8,加油,expense,103.0
328,2024,8,現金回饋,income,190.0
329,2024,8,存款利息,income,152.0
330,2024,8,抖內,income,2000.0
331,2024,8,約會/請客,expense,540.0
332,2024,8,網路雲端服務,expense,90.0
333,2024,8,代付,expense,309.0
334,2024,9,美容美髮,expense,100.0
335,2024,9,飲食,expense,5499.0
336,2024,9,日用品,expense,309.0
337,2024,9,他人還款,income,1688.0
338,2024,9,加油,expense,368.0
339,2024,9,遊戲,expense,100.0
340,2024,9,代付,expense,1998.0
341,2024,9,洗滌,expense,210.0
342,2024,9,代理保管,income,10360.0
343,2024,9,量販雜貨,expense,392.0
344,2024,9,清點差額,expense,35.0
345,2024,9,網路購物,expense,96.0
346,2024,9,存款利息,income,180.0
347,2024,9,服飾配件,expense,539.0
348,2024,9,現金回饋,income,221.0
349,2024,9,網路雲端服務,expense,90.0
350,2024,9,圖書/考試,expense,405.0
351,2024,10,飲食,expense,3931.0
352,2024,10,加油,expense,525.0
353,2024,10,他人還款,income,1441.0
354,2024,10,停車費,expense,20.0
355,2024,10,圖書/考試,expense,29.0
356,2024,10,服飾配件,expense,4620.0
357,2024,10,洗滌,expense,210.0
358,2024,10,清點差額,income,985.0
359,2024,10,美容美髮,expense,100.0
360,2024,10,日用品,expense,79.0
361,2024,10,清點差額,expense,29.0
362,2024,10,保養維修,expense,290.0
363,2024,10,抖內,income,1000.0
364,2024,10,零用錢,income,500.0
365,2024,10,存款利息,income,247.0
366,2024,10,現金回饋,income,141.0
367,2024,10,網路雲端服務,expense,90.0
368,2024,10,代付,expense,1043.0
369,2024,11,飲食,expense,4130.0
370,2024,11,加油,expense,432.0
371,2024,11,服飾配件,expense,4954.0
372,2024,11,洗滌,expense,180.0
373,2024,11,日用品,expense,70.0
374,2024,11,清點差額,expense,237.0
375,2024,11,美容美髮,expense,100.0
376,2024,11,他人還款,income,1928.0
377,2024,11,代付,expense,100.0
378,2024,11,聚會,expense,410.0
379,2024,11,存款利息,income,284.0
380,2024,11,現金回饋,income,156.0
381,2024,11,網路雲端服務,expense,90.0
382,2024,11,抖內,income,200.0
383,2024,11,醫療,expense,100.0
384,2024,12,飲食,expense,3512.0
385,2024,12,代付,expense,3750.0
386,2024,12,洗滌,expense,250.0
387,2024,12,加油,expense,452.0
388,2024,12,日用品,expense,55.0
389,2024,12,服飾配件,expense,7999.0
390,2024,12,清點差額,expense,359.0
391,2024,12,他人還款,income,254.0
392,2024,12,美容美髮,expense,100.0
393,2024,12,網路購物,expense,104.0
394,2024,12,取消交易,income,1180.0
395,2024,12,代理保管,income,1294.0
396,2024,12,保養維修,expense,350.0
397,2024,12,抖內,income,1000.0
398,2024,12,卡片儲值,expense,179.0
399,2024,12,零用錢,income,2000.0
400,2024,12,清點差額,income,5.0
401,2024,12,存款利息,income,268.0
402,2024,12,現金回饋,income,203.0
403,2024,12,網路雲端服務,expense,90.0
404,2025,1,代付,expense,737.0
405,2025,1,清點差額,expense,17.0
406,2025,1,洗滌,expense,120.0
407,2025,1,飲食,expense,1140.0
408,2025,1,他人還款,income,85.0
409,2025,1,服飾配件,expense,600.0
410,2025,1,圖書/考試,expense,1500.0
411,2025,1,加油,expense,100.0
412,2025,1,影印,expense,2.0
413,2025,1,卡片儲值,expense,122.0
414,2025,1,存款利息,income,270.0
415,2025,1,網路雲端服務,expense,90.0
416,2025,1,約會/請客,expense,20.0
417,2025,2,飲食,expense,4010.0
418,2025,2,代付,expense,600.0
419,2025,2,他人還款,income,750.0
420,2025,2,日用品,expense,60.0
421,2025,2,洗滌,expense,120.0
422,2025,2,美容美髮,expense,250.0
423,2025,2,清點差額,expense,35.0
424,2025,2,服飾配件,expense,1567.0
425,2025,2,加油,expense,229.0
426,2025,2,清點差額,income,7.0
427,2025,2,約會/請客,expense,516.0
428,2025,2,存款利息,income,315.0
429,2025,2,網路雲端服務,expense,90.0
430,2025,3,代付,expense,755.0
431,2025,3,零用錢,income,2100.0
432,2025,3,日用品,expense,198.0
433,2025,3,飲食,expense,5386.0
434,2025,3,他人還款,income,624.0
435,2025,3,現金回饋,income,5.0
436,2025,3,洗滌,expense,220.0
437,2025,3,影印,expense,30.0
438,2025,3,清點差額,income,40.0
439,2025,3,服飾配件,expense,1899.0
440,2025,3,醫療,expense,3058.0
441,2025,3,美容美髮,expense,150.0
442,2025,3,存款利息,income,335.0
443,2025,3,網路雲端服務,expense,90.0
444,2025,4,飲食,expense,6493.0
445,2025,4,抖內,income,500.0
446,2025,4,醫療,expense,570.0
447,2025,4,清點差額,expense,339.0
448,2025,4,代付,expense,2508.0
449,2025,4,他人還款,income,463.0
450,2025,4,日用品,expense,299.0
451,2025,4,約會/請客,expense,157.0
452,2025,4,服飾配件,expense,938.0
453,2025,4,洗滌,expense,80.0
454,2025,4,代理保管,income,10820.0
455,2025,4,加油,expense,232.0
456,2025,4,存款利息,income,391.0
457,2025,4,網路雲端服務,expense,90.0
458,2025,4,美容美髮,expense,150.0
459,2025,5,清點差額,expense,85.0
460,2025,5,飲食,expense,5653.0
461,2025,5,洗滌,expense,160.0
462,2025,5,他人還款,income,2437.0
463,2025,5,代付,expense,590.0
464,2025,5,日用品,expense,89.0
465,2025,5,醫療,expense,915.0
466,2025,5,網路購物,expense,90.0
467,2025,5,服飾配件,expense,2016.0
468,2025,5,要還錢/找零,expense,6000.0
469,2025,5,卡片儲值,expense,100.0
470,2025,5,美容美髮,expense,150.0
471,2025,5,通勤交通,expense,60.0
472,2025,5,清點差額,income,36.0
473,2025,5,存款利息,income,387.0
474,2025,5,約會/請客,expense,144.0
475,2025,5,現金回饋,income,136.0
476,2025,5,加油,expense,96.0
477,2025,5,網路雲端服務,expense,90.0
478,2025,6,零用錢,income,1000.0
479,2025,6,飲食,expense,5002.0
480,2025,6,服飾配件,expense,2551.0
481,2025,6,其他,expense,325.0
482,2025,6,影印,expense,224.0
483,2025,6,洗滌,expense,160.0
484,2025,6,加油,expense,110.0
485,2025,6,美容美髮,expense,150.0
486,2025,6,清點差額,expense,140.0
487,2025,6,郵資/行政手續費,expense,1256.0
488,2025,6,租金,expense,35183.0
489,2025,6,存款利息,income,409.0
490,2025,6,現金回饋,income,102.0
491,2025,6,網路雲端服務,expense,90.0
492,2025,6,日用品,expense,139.0
493,2025,6,通勤交通,expense,360.0
494,2025,7,美容美髮,expense,150.0
495,2025,7,飲食,expense,3518.0
496,2025,7,服飾配件,expense,2626.0
497,2025,7,洗滌,expense,40.0
498,2025,7,日用品,expense,1422.0
499,2025,7,影印,expense,4.0
500,2025,7,郵資/行政手續費,expense,497.0
501,2025,7,通勤交通,expense,280.0
502,2025,7,取消交易,income,340.0
503,2025,7,卡片儲值,expense,245.0
504,2025,7,加油,expense,223.0
505,2025,7,代付,expense,210.0
506,2025,7,3C,expense,1099.0
507,2025,7,量販雜貨,expense,689.0
508,2025,7,清點差額,expense,20.0
509,2025,7,清點差額,income,79.0
510,2025,7,存款利息,income,376.0
511,2025,7,現金回饋,income,170.0
512,2025,7,網路雲端服務,expense,90.0
513,2025,7,遊戲,expense,30.0
514,2025,7,工資,income,24420.0
515,2025,8,飲食,expense,4112.0
516,2025,8,加油,expense,350.0
517,2025,8,服飾配件,expense,1529.0
518,2025,8,約會/請客,expense,85.0
519,2025,8,電影,expense,515.0
520,2025,8,獎金,income,500.0
521,2025,8,抖內,income,6000.0
522,2025,8,通勤交通,expense,200.0
523,2025,8,郵資/行政手續費,expense,20.0
524,2025,8,代付,expense,185.0
525,2025,8,他人還款,income,75.0
526,2025,8,日用品,expense,538.0
527,2025,8,洗滌,expense,40.0
528,2025,8,理賠/補助,income,100.0
529,2025,8,存款利息,income,401.0
530,2025,8,現金回饋,income,153.0
