id,name,icon,sort_order,type,sub_type,is_asset,billing_start_day,currency,credit_limit,payment_due_day,min_payment_pct,min_payment_floor,apr,opening_balance
1,撲滿現金,💵,0,asset,現金,1,1,TWD,0.0,0,10.0,1000.0,0.0,50.0
2,台新活儲戶,🏦,1,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,299.0
3,郵局,🏦,2,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,20161.0
4,錢包,💵,3,asset,現金,1,1,TWD,0.0,0,10.0,1000.0,0.0,491.0
5,Bankee,🏦,4,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,414404.0
6,現金書款,💵,5,asset,現金,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
7,點點卡,🪙,6,asset,預付儲值,1,1,TWD,0.0,0,10.0,1000.0,0.0,311.0
8,國泰數位帳戶,🏦,7,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,355.0
9,CUBE COMBO,💳,19,liability,信用卡,0,1,TWD,0.0,0,10.0,1000.0,0.0,-5989.0
10,國泰子帳戶,🏦,8,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,55303.0
11,討債時間！,🤝,9,asset,借出,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
12,iPASS MONEY,🪙,10,asset,預付儲值,1,1,TWD,0.0,0,10.0,1000.0,0.0,-3.0
13,BT21,💳,18,liability,信用卡,0,1,TWD,0.0,0,10.0,1000.0,0.0,-3528.0
14,悠遊付錢包,🪙,11,asset,預付儲值,1,1,TWD,0.0,0,10.0,1000.0,0.0,271.0
15,國泰日幣,🏦,12,asset,銀行,1,1,JPY,0.0,0,10.0,1000.0,0.0,9003.0
16,台新美元,🏦,13,asset,銀行,1,1,USD,0.0,0,10.0,1000.0,0.0,2.19
17,鑫多利,🛡️,14,asset,保單,1,1,USD,0.0,0,10.0,1000.0,0.0,2424.0
18,中信,🏦,15,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
19,LinePay Money,🪙,16,asset,預付儲值,1,1,TWD,0.0,0,10.0,1000.0,0.0,95.0
20,台積電,📈,17,asset,投資,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
