id,name,icon,sort_order,type,sub_type,is_asset,billing_start_day,currency,credit_limit,payment_due_day,min_payment_pct,min_payment_floor,apr,opening_balance
1,撲滿現金,💵,80,asset,現金,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
2,台新活儲戶,🏦,81,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,1000.0
3,錢包,💵,82,asset,現金,1,1,TWD,0.0,0,10.0,1000.0,0.0,0.0
4,郵局,🏦,83,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,1000.0
5,Bankee,🏦,84,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,2000.0
6,現金書款,💵,85,asset,現金,1,1,TWD,0.0,0,10.0,1000.0,0.0,3000.0
7,點點卡,🪙,86,asset,預付儲值,1,1,TWD,0.0,0,10.0,1000.0,0.0,432.0
8,國泰數位帳戶,🏦,87,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,3000.0
9,CUBE COMBO,💳,88,liability,信用卡,0,1,TWD,0.0,0,10.0,1000.0,0.0,-839.0
10,國泰子帳戶,🏦,89,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,5320.0
11,討債時間！,💵,90,asset,現金,1,1,TWD,0.0,0,10.0,1000.0,0.0,390.0
12,iPASS MONEY,🪙,91,asset,預付儲值,1,1,TWD,0.0,0,10.0,1000.0,0.0,200.0
13,BT21,💳,92,liability,信用卡,0,1,TWD,0.0,0,10.0,1000.0,0.0,-800.0
14,悠遊付錢包,🪙,93,asset,預付儲值,1,1,TWD,0.0,0,10.0,1000.0,0.0,200.0
15,中信,🏦,94,asset,銀行,1,1,TWD,0.0,0,10.0,1000.0,0.0,3700.0
16,台新美元,🏦,95,asset,銀行,1,1,USD,0.0,0,10.0,1000.0,0.0,30.0
