id,year,month,category,type,amount
1,2022,4,飲食,expense,90.0
2,2022,4,暫借,expense,10.0
3,2022,4,他人還款,income,10.0
4,2022,5,零用錢,income,7000.0
5,2022,5,教育,expense,380.0
6,2022,5,飲食,expense,1153.0
7,2022,5,班費,expense,200.0
8,2022,5,卡片儲值,expense,179.0
9,2022,5,洗滌,expense,450.0
10,2022,5,清點差額,expense,127.0
11,2022,5,網路雲端服務,expense,1729.0
12,2022,5,他人還款,income,650.0
13,2022,5,學習深造,expense,710.0
14,2022,6,他人還款,income,2530.0
15,2022,6,零用錢,income,4000.0
16,2022,6,獎金,income,1200.0
17,2022,6,學習深造,expense,1600.0
18,2022,6,工資,income,285.0
19,2022,6,飲食,expense,811.0
20,2022,6,卡片儲值,expense,280.0
21,2022,6,服飾,expense,1331.0
22,2022,6,通勤交通,expense,270.0
23,2022,7,KTV,expense,660.0
24,2022,7,他人還款,income,530.0
25,2022,7,獎金,income,1800.0
26,2022,7,卡片儲值,expense,300.0
27,2022,7,飲食,expense,1327.0
28,2022,7,美容美髮,expense,100.0
29,2022,7,零用錢,income,2500.0
30,2022,7,清點差額,expense,326.0
31,2022,7,天下掉下來,income,15.0
32,2022,8,服飾配件,expense,92.0
33,2022,8,獎金,income,2000.0
34,2022,8,零用錢,income,1000.0
35,2022,9,美容美髮,expense,100.0
36,2022,9,聚會,expense,600.0
37,2022,9,飲食,expense,688.0
38,2022,9,醫療,expense,600.0
39,2022,9,清點差額,expense,725.0
40,2022,9,卡片儲值,expense,200.0
41,2022,9,零用錢,income,12000.0
42,2022,9,結算差額,income,775.0
43,2022,9,服飾配件,expense,2156.0
44,2022,9,代付,expense,830.0
45,2022,9,他人還款,income,860.0
46,2022,9,通勤交通,expense,449.0
47,2022,9,代理保管,income,9936.0
48,2022,10,飲食,expense,366.0
49,2022,10,要還錢/找零,expense,1836.0
50,2022,10,他人還款,income,830.0
51,2022,10,零用錢,income,4000.0
52,2022,10,服飾配件,expense,400.0
53,2022,10,通勤交通,expense,10.0
54,2022,10,3C,expense,2200.0
55,2022,10,清點差額,expense,69.0
56,2022,11,還款,expense,100.0
57,2022,11,要還錢/找零,expense,200.0
58,2022,11,飲食,expense,303.0
59,2022,11,他人還款,income,193.0
60,2022,11,獎金,income,5000.0
61,2022,12,飲食,expense,615.0
62,2022,12,服飾配件,expense,1558.0
63,2022,12,他人還款,income,1600.0
64,2022,12,代付,expense,100.0
65,2022,12,清點差額,expense,133.0
66,2022,12,獎金,income,4000.0
67,2023,1,飲食,expense,297.0
68,2023,1,洗滌,expense,10.0
69,2023,1,結算差額,income,1.0
70,2023,1,獎金,income,2000.0
71,2023,2,清點差額,expense,14.0
72,2023,2,洗滌,expense,10.0
73,2023,2,還款,expense,520.0
74,2023,2,代付,expense,88.0
