id,name,type,is_asset,in_budget,group_name,sort_order,monthly_budget
1,飲食,expense,1,1,匯入（支出）,90,0
2,暫借,expense,1,1,匯入（支出）,91,0
3,教育,expense,1,1,匯入（支出）,92,0
4,班費,expense,1,1,匯入（支出）,93,0
5,卡片儲值,expense,1,1,匯入（支出）,94,0
6,洗滌,expense,1,1,匯入（支出）,95,0
7,清點差額,expense,1,1,匯入（支出）,96,0
8,網路雲端服務,expense,1,1,匯入（支出）,97,0
9,學習深造,expense,1,1,匯入（支出）,98,0
10,服飾,expense,1,1,匯入（支出）,99,0
11,通勤交通,expense,1,1,匯入（支出）,100,0
12,KTV,expense,1,1,匯入（支出）,101,0
13,美容美髮,expense,1,1,匯入（支出）,102,0
14,服飾配件,expense,1,1,匯入（支出）,103,0
15,聚會,expense,1,1,匯入（支出）,104,0
16,醫療,expense,1,1,匯入（支出）,105,0
17,代付,expense,1,1,匯入（支出）,106,0
18,要還錢/找零,expense,1,1,匯入（支出）,107,0
19,3C,expense,1,1,匯入（支出）,108,0
20,還款,expense,1,1,匯入（支出）,109,0
21,投資,expense,1,1,匯入（支出）,110,0
22,加油,expense,1,1,匯入（支出）,111,0
23,其他,expense,1,1,匯入（支出）,112,0
24,電影,expense,1,1,匯入（支出）,113,0
25,停車費,expense,1,1,匯入（支出）,114,0
26,旅行,expense,1,1,匯入（支出）,115,0
27,日用品,expense,1,1,匯入（支出）,116,0
28,遊戲,expense,1,1,匯入（支出）,117,0
29,圖書/考試,expense,1,1,匯入（支出）,118,0
30,保養維修,expense,1,1,匯入（支出）,119,0
31,約會/請客,expense,1,1,匯入（支出）,120,0
32,量販雜貨,expense,1,1,匯入（支出）,121,0
33,禮品,expense,1,1,匯入（支出）,122,0
34,股票虧損,expense,1,1,匯入（支出）,123,0
35,影印,expense,1,1,匯入（支出）,124,0
36,他人還款,income,1,1,匯入（收入）,125,0
37,零用錢,income,1,1,匯入（收入）,126,0
38,獎金,income,1,1,匯入（收入）,127,0
39,工資,income,1,1,匯入（收入）,128,0
40,天下掉下來,income,1,1,匯入（收入）,129,0
41,結算差額,income,1,1,匯入（收入）,130,0
42,代理保管,income,1,1,匯入（收入）,131,0
43,股息,income,1,1,匯入（收入）,132,0
44,存款利息,income,1,1,匯入（收入）,133,0
45,現金回饋,income,1,1,匯入（收入）,134,0
46,取消交易,income,1,1,匯入（收入）,135,0
47,股票盈利,income,1,1,匯入（收入）,136,0
