id,name,type,is_asset,in_budget,group_name,sort_order,monthly_budget
1,飲食,expense,1,1,匯入（支出）,90,0
2,暫借,expense,1,1,匯入（支出）,91,0
3,教育,expense,1,1,匯入（支出）,92,0
4,班費,expense,1,1,匯入（支出）,93,0
5,卡片儲值,expense,1,1,匯入（支出）,94,0
6,洗滌,expense,1,1,匯入（支出）,95,0
7,清點差額,expense,1,1,匯入（支出）,96,0
8,網路雲端服務,expense,1,1,匯入（支出）,97,0
9,學習深造,expense,1,1,匯入（支出）,98,0
10,服飾,expense,1,1,匯入（支出）,99,0
11,通勤交通,expense,1,1,匯入（支出）,100,0
12,KTV,expense,1,1,匯入（支出）,101,0
13,美容美髮,expense,1,1,匯入（支出）,102,0
14,代付,expense,1,1,匯入（支出）,103,0
15,要還錢/找零,expense,1,1,匯入（支出）,104,0
16,3C,expense,1,1,匯入（支出）,105,0
17,服飾配件,expense,1,1,匯入（支出）,106,0
18,旅行,expense,1,1,匯入（支出）,107,0
19,聚會,expense,1,1,匯入（支出）,108,0
20,醫療,expense,1,1,匯入（支出）,109,0
21,還款,expense,1,1,匯入（支出）,110,0
22,量販雜貨,expense,1,1,匯入（支出）,111,0
23,稅金/費用,expense,1,1,匯入（支出）,112,0
24,學習力,expense,1,1,匯入（支出）,113,0
25,雲端服務,expense,1,1,匯入（支出）,114,0
26,影印,expense,1,1,匯入（支出）,115,0
27,禮品,expense,1,1,匯入（支出）,116,0
28,保養維修,expense,1,1,匯入（支出）,117,0
29,投資,expense,1,1,匯入（支出）,118,0
30,保險,expense,1,1,匯入（支出）,119,0
31,停車費,expense,1,1,匯入（支出）,120,0
32,加油,expense,1,1,匯入（支出）,121,0
33,運動,expense,1,1,匯入（支出）,122,0
34,日用品,expense,1,1,匯入（支出）,123,0
35,圖書/考試,expense,1,1,匯入（支出）,124,0
36,其他,expense,1,1,匯入（支出）,125,0
37,遊戲,expense,1,1,匯入（支出）,126,0
38,電影,expense,1,1,匯入（支出）,127,0
39,租金,expense,1,1,匯入（支出）,128,0
40,網路購物,expense,1,1,匯入（支出）,129,0
41,約會/請客,expense,1,1,匯入（支出）,130,0
42,學習,expense,1,1,匯入（支出）,131,0
43,利息/罰金,expense,1,1,匯入（支出）,132,0
44,郵資/行政手續費,expense,1,1,匯入（支出）,133,0
45,股票虧損,expense,1,1,匯入（支出）,134,0
46,他人還款,income,1,1,匯入（收入）,135,0
47,零用錢,income,1,1,匯入（收入）,136,0
48,獎金,income,1,1,匯入（收入）,137,0
49,工資,income,1,1,匯入（收入）,138,0
50,天下掉下來,income,1,1,匯入（收入）,139,0
51,現金回饋,income,1,1,匯入（收入）,140,0
52,結算差額,income,1,1,匯入（收入）,141,0
53,代理保管,income,1,1,匯入（收入）,142,0
54,買賣,income,1,1,匯入（收入）,143,0
55,存款利息,income,1,1,匯入（收入）,144,0
56,抖內,income,1,1,匯入（收入）,145,0
57,小數點折抵,income,1,1,匯入（收入）,146,0
58,股息,income,1,1,匯入（收入）,147,0
59,理賠/補助,income,1,1,匯入（收入）,148,0
60,取消交易,income,1,1,匯入（收入）,149,0
61,股票盈利,income,1,1,匯入（收入）,150,0
