id,year,month,category,type,amount
1,2022,4,飲食,expense,90.0
2,2022,4,暫借,expense,10.0
3,2022,4,他人還款,income,10.0
4,2022,5,零用錢,income,7000.0
5,2022,5,教育,expense,380.0
6,2022,5,飲食,expense,1153.0
7,2022,5,班費,expense,200.0
8,2022,5,卡片儲值,expense,179.0
9,2022,5,洗滌,expense,450.0
10,2022,5,清點差額,expense,127.0
11,2022,5,網路雲端服務,expense,1729.0
12,2022,5,他人還款,income,650.0
13,2022,5,學習深造,expense,710.0
14,2022,6,他人還款,income,2530.0
15,2022,6,零用錢,income,4000.0
16,2022,6,獎金,income,1200.0
17,2022,6,學習深造,expense,1600.0
18,2022,6,工資,income,285.0
19,2022,6,飲食,expense,811.0
20,2022,6,卡片儲值,expense,280.0
21,2022,6,服飾,expense,1331.0
22,2022,6,通勤交通,expense,270.0
23,2022,7,KTV,expense,1650.0
24,2022,7,他人還款,income,1382.0
25,2022,7,飲食,expense,2038.0
26,2022,7,卡片儲值,expense,590.0
27,2022,7,獎金,income,1800.0
28,2022,7,美容美髮,expense,100.0
29,2022,7,零用錢,income,3500.0
30,2022,7,清點差額,expense,326.0
31,2022,7,天下掉下來,income,85.0
32,2022,7,通勤交通,expense,447.0
33,2022,7,代付,expense,1788.0
34,2022,8,飲食,expense,6531.0
35,2022,8,獎金,income,3850.0
36,2022,8,要還錢/找零,expense,210.0
37,2022,8,天下掉下來,income,10.0
38,2022,8,3C,expense,20076.0
39,2022,8,代付,expense,390.0
40,2022,8,卡片儲值,expense,100.0
41,2022,8,零用錢,income,5500.0
42,2022,8,現金回饋,income,25.0
43,2022,8,清點差額,expense,15.0
44,2022,8,服飾配件,expense,92.0
45,2022,8,KTV,expense,169.0
46,2022,8,美容美髮,expense,100.0
47,2022,8,網路雲端服務,expense,1399.0
48,2022,8,他人還款,income,4452.0
49,2022,8,旅行,expense,2800.0
50,2022,9,教育,expense,2349.0
51,2022,9,美容美髮,expense,100.0
52,2022,9,零用錢,income,44000.0
53,2022,9,聚會,expense,600.0
54,2022,9,飲食,expense,3718.0
55,2022,9,醫療,expense,600.0
56,2022,9,通勤交通,expense,5132.0
57,2022,9,卡片儲值,expense,300.0
58,2022,9,清點差額,expense,935.0
59,2022,9,現金回饋,income,141.0
60,2022,9,KTV,expense,270.0
61,2022,9,天下掉下來,income,228.0
62,2022,9,他人還款,income,2801.0
63,2022,9,網路雲端服務,expense,1399.0
64,2022,9,結算差額,income,775.0
65,2022,9,洗滌,expense,300.0
66,2022,9,3C,expense,1370.0
67,2022,9,服飾配件,expense,2156.0
68,2022,9,代付,expense,830.0
69,2022,9,代理保管,income,9936.0
70,2022,9,要還錢/找零,expense,9936.0
71,2022,10,飲食,expense,5755.0
72,2022,10,通勤交通,expense,1219.0
