根據您篩選的結果，總計有318筆資料，當前資料為1-318筆，看更多請至國泰證券app查詢
股名,日期,成交股數,淨收付金額,買賣別,成交價,成本,手續費,交易稅,融資金額/券擔保品,資自備款/券保證金,利息,稅款,券手續費/標借費,委託書號
南電,2026/07/14,2,"-2,531",現買,1265,"2,530",1,0,0,0,0,0,0,r02hI
南電,2026/07/14,2,"-2,471",現買,1235,"2,470",1,0,0,0,0,0,0,r07RS
元大台灣50,2026/07/09,5,-532,現買,106.27,531,1,0,0,0,0,0,0,p00Cg
南亞,2026/07/09,10,"-1,811",現買,181,"1,810",1,0,0,0,0,0,0,r0C42
禾伸堂,2026/07/09,2,"-2,051",現買,1025,"2,050",1,0,0,0,0,0,0,r0ESz
禾伸堂,2026/07/09,2,"-1,991",現買,995,"1,990",1,0,0,0,0,0,0,r0GpK
國巨*,2026/07/06,1,"-1,001",現買,1000,"1,000",1,0,0,0,0,0,0,r08xQ
元大台灣50,2026/07/02,5,-542,現買,108.28,541,1,0,0,0,0,0,0,p00Ii
主動統一台股增長,2026/06/30,350,"10,892",現賣,31.16,"10,906",4,10,0,0,0,0,0,r0C5C
元大台灣50,2026/06/29,5,-523,現買,104.58,522,1,0,0,0,0,0,0,p00gN
元大台灣50,2026/06/29,5,-523,現買,104.58,522,1,0,0,0,0,0,0,p00gO
兆豐藍籌30,2026/06/29,12,-946,現買,78.82,945,1,0,0,0,0,0,0,p05oH
兆豐藍籌30,2026/06/29,12,-946,現買,78.82,945,1,0,0,0,0,0,0,p05oI
聯發科,2026/06/26,1,"-3,896",現買,3895,"3,895",1,0,0,0,0,0,0,r0aXP
元大台灣50,2026/06/24,5,-536,現買,107,535,1,0,0,0,0,0,0,p00Bi
永豐台灣ESG,2026/06/23,"1,000","-38,415",現買,38.4,"38,400",15,0,0,0,0,0,0,c6445
擎亞,2026/06/23,15,"-2,281",現買,152,"2,280",1,0,0,0,0,0,0,r040b
元大台灣50,2026/06/22,3,-333,現買,110.86,332,1,0,0,0,0,0,0,p00zl
兆豐藍籌30,2026/06/22,9,-764,現買,84.81,763,1,0,0,0,0,0,0,p09W3
兆豐藍籌30,2026/06/22,9,-764,現買,84.81,763,1,0,0,0,0,0,0,p09W4
元大台灣50,2026/06/18,3,-322,現買,107.05,321,1,0,0,0,0,0,0,p00Kc
元大台灣50,2026/06/17,3,-317,現買,105.37,316,1,0,0,0,0,0,0,p00CQ
元大台灣50,2026/06/09,3,-309,現買,102.86,308,1,0,0,0,0,0,0,p00CQ
兆豐藍籌30,2026/06/09,2,-159,現買,79.35,158,1,0,0,0,0,0,0,p01uf
盟立,2026/06/09,3,-454,現買,151,453,1,0,0,0,0,0,0,r0XFx
盟立,2026/06/05,3,-496,現買,165,495,1,0,0,0,0,0,0,r11ny
盟立,2026/06/03,3,-536,現買,178.5,535,1,0,0,0,0,0,0,r0F9U
力成,2026/06/03,3,"-1,012",現買,337,"1,011",1,0,0,0,0,0,0,r0HWs
元大台灣50,2026/06/02,3,-317,現買,105.35,316,1,0,0,0,0,0,0,p00Ik
盟立,2026/06/02,10,"-1,881",現買,188,"1,880",1,0,0,0,0,0,0,r09W3
盟立,2026/06/02,10,"-1,841",現買,184,"1,840",1,0,0,0,0,0,0,r0BHg
聯發科,2026/05/29,1,"-4,291",現買,4290,"4,290",1,0,0,0,0,0,0,r09KS
元大台灣50,2026/05/28,3,-308,現買,102.66,307,1,0,0,0,0,0,0,p00I3
兆豐藍籌30,2026/05/28,10,-793,現買,79.2,792,1,0,0,0,0,0,0,p02dC
盟立,2026/05/28,100,"16,993",現賣,170.5,"17,050",6,51,0,0,0,0,0,r0S2K
力成,2026/05/28,10,"-3,641",現買,364,"3,640",1,0,0,0,0,0,0,r0mJY
元大台灣50,2026/05/27,3,-310,現買,103.33,309,1,0,0,0,0,0,0,p00CD
兆豐藍籌30,2026/05/27,9,-730,現買,81.1,729,1,0,0,0,0,0,0,p01jC
聯發科,2026/05/26,1,"-4,321",現買,4320,"4,320",1,0,0,0,0,0,0,k04CA
聯發科,2026/05/26,1,"-4,321",現買,4320,"4,320",1,0,0,0,0,0,0,k04Cj
