日期,從帳戶,轉出金額,幣別,到帳戶,轉入金額,幣別,標籤,備註,上次更新,UUID
20260713,國泰子帳戶,1991,TWD,TW,1991,TWD,,買進(3026.TW:禾伸堂),2026-07-09 11:34:11,S_77E8CAFD-2B3C-470C-9AFB-AB59BE44EC48
20260713,國泰子帳戶,2051,TWD,TW,2051,TWD,,買進(3026.TW:禾伸堂),2026-07-09 11:34:24,S_DF16EB9D-75A8-4DB0-9181-1B8FC6772F1D
20260713,國泰子帳戶,1811,TWD,TW,1811,TWD,,買進(1303.TW:南亞),2026-07-09 11:32:50,S_90E17076-28DB-4FD1-B2E6-DED2DCE4712C
20260709,國泰子帳戶,532,TWD,TW,532,TWD,,買進(0050.TW:元大台灣50),2026-07-10 02:50:43,S_E613E307-2099-4DF5-9C8A-C5448D436E43
20260708,國泰子帳戶,1001,TWD,TW,1001,TWD,,買進(2327.TW:國巨*),2026-07-06 21:11:01,S_96032DB8-559A-453F-9C83-D6DB6B5D5744
20260706,國泰子帳戶,542,TWD,TW,542,TWD,,買進(0050.TW:元大台灣50),2026-07-03 12:54:26,S_EA984D34-F170-4FDB-A83B-311363FCB85C
20260704,Bankee,200,TWD,悠遊付錢包,200,TWD,,,2026-07-04 20:30:02,A47B50E1-14C0-4182-9107-D37B8F69EB34
20260703,CUBE COMBO,300,TWD,點點卡,300,TWD,,,2026-07-03 12:50:02,F57E557D-8F47-4B27-817C-23345D07DF0D
20260702,TW,10892,TWD,國泰子帳戶,10892,TWD,,賣出(00981A.TW:主動統一台股增長),2026-06-30 10:38:49,S_56D9C32D-BC5C-4675-96DA-6473E6117AB2
20260701,Bankee,2500,TWD,錢包,2500,TWD,,,2026-07-01 19:07:58,FE9008AF-8880-434A-A4EF-09ACDD8E3540
20260701,國泰子帳戶,946,TWD,TW,946,TWD,,買進(00690.TW:兆豐藍籌30),2026-06-29 17:25:19,S_AC8E66F6-4E7F-40D6-ADE4-4524FB8B928B
20260701,國泰子帳戶,946,TWD,TW,946,TWD,,買進(00690.TW:兆豐藍籌30),2026-06-29 17:25:12,S_0083EA0A-EAD2-4022-B170-7C8F364C406A
20260701,國泰子帳戶,523,TWD,TW,523,TWD,,買進(0050.TW:元大台灣50),2026-06-29 17:24:39,S_C443695D-E2A1-4D30-A80F-CAE138BCBF5B
20260701,國泰子帳戶,523,TWD,TW,523,TWD,,買進(0050.TW:元大台灣50),2026-06-29 17:24:23,S_FC25900D-1B84-4E3F-A285-4F309C2C8DC2
20260630,台新美元,1212,USD,鑫多利,1212,USD,,,2026-07-03 13:24:34,0E534ABB-8784-407D-B46F-EDA6E76E4B67
20260630,國泰子帳戶,3896,TWD,TW,3896,TWD,,買進(2454.TW:聯發科),2026-06-26 11:11:04,S_BAE39494-C997-4896-B730-B37A63309E5E
20260629,Bankee,2000,TWD,錢包,2000,TWD,,,2026-06-29 12:03:44,003C0D31-4CED-4B4A-A893-2527CA2AE7D1
20260628,Bankee,260,TWD,LinePay Money,260,TWD,,,2026-06-28 11:43:53,1F678B0E-DCDB-49A8-9607-1E7D2CDEE214
20260626,國泰子帳戶,536,TWD,TW,536,TWD,,買進(0050.TW:元大台灣50),2026-06-25 08:56:26,S_50FD3432-C5B2-40C3-9F84-74AA98E2AA07
20260625,國泰子帳戶,38415,TWD,TW,38415,TWD,,買進(00888.TWO:永豐台灣ESG),2026-06-23 13:09:33,S_B98CE0DC-2722-496B-ACC3-FDA3B9BF9CB3
20260625,國泰子帳戶,2281,TWD,TW,2281,TWD,,買進(8096.TWO:擎亞),2026-06-23 09:20:45,S_9254E24F-CD12-414C-83BA-2D37636067BA
20260624,國泰子帳戶,764,TWD,TW,764,TWD,,買進(00690.TW:兆豐藍籌30),2026-06-25 08:59:47,S_7029584A-A165-4A4E-9EEE-6F260667A3AC
20260624,國泰子帳戶,764,TWD,TW,764,TWD,,買進(00690.TW:兆豐藍籌30),2026-06-25 08:59:24,S_B8494529-9B14-4980-93C9-B3A274D6671C
20260624,國泰子帳戶,333,TWD,TW,333,TWD,,買進(0050.TW:元大台灣50),2026-06-25 08:57:44,S_778BC487-3126-4389-AA59-36A9A71F276C
20260624,國泰子帳戶,2675,TWD,CUBE COMBO,2675,TWD,,自動繳款[5月09日〜6月08日],2026-07-10 02:42:57,4A5A2E18-C1D8-40A8-8521-719B6076AA37
20260622,國泰子帳戶,322,TWD,TW,322,TWD,,買進(0050.TW:元大台灣50),2026-06-25 08:58:16,S_AA1A819A-D3D4-4F2E-BB27-CB1087DF6DEE
20260622,郵局,20111,TWD,Bankee,20111,TWD,,,2026-06-22 18:25:09,734B35E7-9551-4765-882B-19397CC0633B
20260622,郵局,500,TWD,國泰數位帳戶,500,TWD,,,2026-06-22 18:24:11,B777C7AA-546D-4BB6-B6EF-35266C337A55
20260622,郵局,4000,TWD,國泰子帳戶,4000,TWD,,,2026-06-22 18:23:54,C635EBB8-6E1E-48DD-958B-4E8393EAF53B
20260622,Bankee,4742,TWD,BT21,4742,TWD,,自動繳款[5月07日〜6月06日],2026-06-23 08:37:09,59AD07BE-E355-486E-8324-89AE07F41C28
20260622,國泰子帳戶,317,TWD,TW,317,TWD,,買進(0050.TW:元大台灣50),2026-06-17 16:55:45,S_5E809C90-0C02-471C-80C2-C4A16111DA7A
20260617,郵局,4831,TWD,Bankee,4831,TWD,,,2026-06-17 19:56:34,AEC6C50E-1E6D-44D3-908E-BA86D0D719D3
20260613,Bankee,100,TWD,LinePay Money,100,TWD,,,2026-07-06 21:07:57,D7EA0537-F863-45C9-9B1D-56490610FE71
20260611,國泰子帳戶,159,TWD,TW,159,TWD,,買進(00690.TW:兆豐藍籌30),2026-06-09 19:49:21,S_CC619F69-092E-4C19-8E55-AD972C05223C
20260611,國泰子帳戶,309,TWD,TW,309,TWD,,買進(0050.TW:元大台灣50),2026-06-09 19:47:35,S_9552CF62-96B7-4AE4-B005-34FFF302D012
20260611,國泰子帳戶,454,TWD,TW,454,TWD,,買進(2464.TW:盟立),2026-06-09 15:50:59,S_7CF97CDD-AC9C-4637-900D-215CE6F0ACA0
